source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[diet duration]	characteristics[diet]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[diet duration]	factor value[treatment]
mouse_76	Mus musculus	blood plasma	not applicable	11	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_76	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_76.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_77	Mus musculus	blood plasma	not applicable	10	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_77	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_77.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_78	Mus musculus	blood plasma	not applicable	11	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_78_20180920205533	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_78_20180920205533.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_79	Mus musculus	blood plasma	not applicable	12	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_79	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_79.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_80	Mus musculus	blood plasma	not applicable	13	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_80	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_80.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Drug Vehicle
mouse_81	Mus musculus	blood plasma	not applicable	12	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_81	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_81.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_82	Mus musculus	blood plasma	not applicable	13	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_82	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_82.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_83	Mus musculus	blood plasma	not applicable	12	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_83_20180920172706	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_83_20180920172706.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_84	Mus musculus	blood plasma	not applicable	13	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_84	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_84.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_85	Mus musculus	blood plasma	not applicable	14	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_85	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_85.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_86	Mus musculus	blood plasma	not applicable	15	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_86	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_86.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	Dual GIP/GLP-1 Receptor Agonist
mouse_88	Mus musculus	blood plasma	not applicable	14	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_88	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_88.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GLP-1 receptor agonist
mouse_89	Mus musculus	blood plasma	not applicable	12	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_89	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_89.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
mouse_90	Mus musculus	blood plasma	not applicable	13	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	not available	not available	female	1 to 2 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_90	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_90.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	1 to 2 months	GIP receptor agonist
