id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD004876	zebrafish	skip	no cleavage agent stated	Danio rerio (zebrafish) (brachydanio rerio)	27898262	not available	8		Q Exactive	TIC	Shotgun proteomics	Characterization of genetic loss-of-function of Fus in zebrafish
PXD006098	zebrafish	skip	no cleavage agent stated	Danio rerio (zebrafish) (brachydanio rerio)	28381614	not available	12		Q Exactive	not available	Shotgun proteomics;Gel-based experiment	Dynamic RNA-protein interactions underlie the zebrafish maternal-to-zygotic transition
PXD007169	zebrafish	skip	labelled quantification - no public channel-to-sample key	Danio rerio (zebrafish) (brachydanio rerio)	29066856	not available	10		Q Exactive	MS1 intensity based label-free quantification method	Shotgun proteomics	Modeling acrylamide acute neurotoxicity in zebrafish larvae
PXD008322	zebrafish	skip	no cleavage agent stated	Danio rerio (zebrafish) (brachydanio rerio)	30086300	not available	22		Q Exactive	not available	Shotgun proteomics;Affinity purification coupled with mass spectrometry proteomics	Tdrd6a regulates the aggregation of Buc into functional subcellular compartments that drive germ cell specification
PXD008614	zebrafish	skip	labelled quantification stated in the record	Danio rerio (zebrafish) (brachydanio rerio)	30185624	not available	120		TripleTOF 5600	not available	Shotgun proteomics	zebrafish embryos proteome for slbp2 KO F3 and wild type
PXD008993	zebrafish	skip	labelled quantification - no public channel-to-sample key	Danio rerio (zebrafish) (brachydanio rerio)	29784925	not available	10		Q Exactive	MS1 intensity based label-free quantification method	Shotgun proteomics	Acrylamide acute neurotoxicity in adult zebrafish
PXD009514	zebrafish	skip	experiment type outside the ms-proteomics template	Danio rerio (zebrafish) (brachydanio rerio)	31227602	not available	10		Q Exactive	not available	Chemical cross-linking coupled with mass spectrometry proteomics;Shotgun proteomics	1 A post-transcriptional regulatory code for mRNA stability dur-ing the maternal-to-zygotic transition
PXD009594	zebrafish	skip	labelling stated in the sample-processing protocol	Danio rerio (zebrafish) (brachydanio rerio)	30457989	not available	1		Q Exactive	MS1 based isotope labeling	Shotgun proteomics	Loss of the Mia40a oxidoreductase leads to hepato-pancreatic insufficiency in the zebrafish
PXD010092	zebrafish	skip	no cleavage agent stated	Danio rerio (zebrafish) (brachydanio rerio)	31221719	not available	8		maXis	Spectrum counting	Shotgun proteomics	Proteomic analysis of extracellular matrix remodeling during zebrafish heart regeneration
PXD010922	zebrafish	skip	experiment type outside the ms-proteomics template	Danio rerio (zebrafish) (brachydanio rerio)	31488564	not available	30		Orbitrap Fusion;LTQ Orbitrap	not available	mass spectrometry imaging	Zebrafish 24hpf whole embryo MZezh2mutant
PXD011022	zebrafish	skip	labelled quantification - no public channel-to-sample key	Danio rerio (zebrafish) (brachydanio rerio)	31726584;31036921	not available	24		Q Exactive	TMT	Shotgun proteomics	A quantitative proteomics-approach to detect impaired estrogen synthesis in zebrafish (Danio rerio)
