source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[sampling time]	characteristics[sample type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]	factor value[genotype]	factor value[sampling time]
d50-iN-LIPA-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	LIPA	50 day	study sample	cell	3	run aa04276_yh_fk_d50_iN_LIPA_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04276_yh_fk_d50_iN_LIPA_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	LIPA	50 day
d50-pool-10	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04356_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04356_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-HEXA-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	HEXA	50 day	study sample	cell	3	run aa04349_yh_fk_d50_iDA_HEXA_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04349_yh_fk_d50_iDA_HEXA_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	HEXA	50 day
d50-iN-DNAJC5-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	DNAJC5	50 day	study sample	cell	3	run aa04294_yh_fk_d50_iN_DNAJC5_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04294_yh_fk_d50_iN_DNAJC5_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	DNAJC5	50 day
d50-iN-CLN3-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CLN3	50 day	study sample	cell	2	run aa04351_yh_fk_d50_iN_CLN3_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04351_yh_fk_d50_iN_CLN3_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CLN3	50 day
d50-iDA-CLN8-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	CLN8	50 day	study sample	cell	2	run aa04243_yh_fk_d50_iDA_CLN8_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04243_yh_fk_d50_iDA_CLN8_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	CLN8	50 day
d50-iN-SMPD1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	50 day	study sample	cell	2	run aa04348_yh_fk_d50_iN_SMPD1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04348_yh_fk_d50_iN_SMPD1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	SMPD1	50 day
d50-pool-11	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04315_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04315_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-NPC2-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	NPC2	50 day	study sample	cell	1	run aa04227_yh_fk_d50_iDA_NPC2_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04227_yh_fk_d50_iDA_NPC2_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	NPC2	50 day
d50-iN-GBA1-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	50 day	study sample	cell	1	run aa04218_yh_fk_d50_iN_GBA1_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04218_yh_fk_d50_iN_GBA1_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GBA1	50 day
d50-iDA-MCOLN1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	MCOLN1	50 day	study sample	cell	2	run aa04333_yh_fk_d50_iDA_MCOLN1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04333_yh_fk_d50_iDA_MCOLN1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	MCOLN1	50 day
d50-iDA-ATP13A2-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ATP13A2	50 day	study sample	cell	2	run aa04261_yh_fk_d50_iDA_ATP13A2_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04261_yh_fk_d50_iDA_ATP13A2_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ATP13A2	50 day
d50-iN-ATP13A2-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ATP13A2	50 day	study sample	cell	1	run aa04303_yh_fk_d50_iN_ATP13A2_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04303_yh_fk_d50_iN_ATP13A2_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ATP13A2	50 day
d50-pool-12	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04225_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04225_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-NPC2-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	NPC2	50 day	study sample	cell	3	run aa04334_yh_fk_d50_iDA_NPC2_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04334_yh_fk_d50_iDA_NPC2_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	NPC2	50 day
d50-iDA-GAA-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GAA	50 day	study sample	cell	3	run aa04219_yh_fk_d50_iDA_GAA_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04219_yh_fk_d50_iDA_GAA_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GAA	50 day
d50-iN-ATP13A2-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ATP13A2	50 day	study sample	cell	3	run aa04310_yh_fk_d50_iN_ATP13A2_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04310_yh_fk_d50_iN_ATP13A2_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ATP13A2	50 day
d50-iN-NPC2-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	NPC2	50 day	study sample	cell	3	run aa04316_yh_fk_d50_iN_NPC2_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04316_yh_fk_d50_iN_NPC2_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	NPC2	50 day
d50-iDA-CLN3-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	CLN3	50 day	study sample	cell	1	run aa04253_yh_fk_d50_iDA_CLN3_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04253_yh_fk_d50_iDA_CLN3_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	CLN3	50 day
d50-iN-MFSD8-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	MFSD8	50 day	study sample	cell	2	run aa04260_yh_fk_d50_iN_MFSD8_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04260_yh_fk_d50_iN_MFSD8_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	MFSD8	50 day
d50-iN-GAA-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GAA	50 day	study sample	cell	2	run aa04256_yh_fk_d50_iN_GAA_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04256_yh_fk_d50_iN_GAA_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GAA	50 day
d50-iN-ASAH1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	50 day	study sample	cell	2	run aa04257_yh_fk_d50_iN_ASAH1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04257_yh_fk_d50_iN_ASAH1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ASAH1	50 day
d50-pool-13	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04255_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04255_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iDA-PSAP-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	PSAP	50 day	study sample	cell	3	run aa04308_yh_fk_d50_iDA_PSAP_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04308_yh_fk_d50_iDA_PSAP_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	PSAP	50 day
d50-iN-CTSD-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CTSD	50 day	study sample	cell	1	run aa04306_yh_fk_d50_iN_CTSD_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04306_yh_fk_d50_iN_CTSD_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CTSD	50 day
d50-iN-ASAH1-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	50 day	study sample	cell	3	run aa04277_yh_fk_d50_iN_ASAH1_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04277_yh_fk_d50_iN_ASAH1_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ASAH1	50 day
d50-iDA-NPC1-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	NPC1	50 day	study sample	cell	3	run aa04207_yh_fk_d50_iDA_NPC1_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04207_yh_fk_d50_iDA_NPC1_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	NPC1	50 day
d50-iN-wildtype-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	50 day	study sample	cell	2	run aa04321_yh_fk_d50_iN_Ctrl_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04321_yh_fk_d50_iN_Ctrl_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	wild type	50 day
d50-iN-ATP13A2-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ATP13A2	50 day	study sample	cell	2	run aa04346_yh_fk_d50_iN_ATP13A2_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04346_yh_fk_d50_iN_ATP13A2_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ATP13A2	50 day
d50-iDA-PSAP-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	PSAP	50 day	study sample	cell	1	run aa04296_yh_fk_d50_iDA_PSAP_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04296_yh_fk_d50_iDA_PSAP_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	PSAP	50 day
d50-iN-CTSD-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CTSD	50 day	study sample	cell	2	run aa04283_yh_fk_d50_iN_CTSD_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04283_yh_fk_d50_iN_CTSD_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CTSD	50 day
d50-iN-PSAP-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	PSAP	50 day	study sample	cell	3	run aa04309_yh_fk_d50_iN_PSAP_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04309_yh_fk_d50_iN_PSAP_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	PSAP	50 day
d50-iDA-MFSD8-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	MFSD8	50 day	study sample	cell	1	run aa04343_yh_fk_d50_iDA_MFSD8_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04343_yh_fk_d50_iDA_MFSD8_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	MFSD8	50 day
d50-iDA-TPP1-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	TPP1	50 day	study sample	cell	3	run aa04332_yh_fk_d50_iDA_TPP1_rep3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04332_yh_fk_d50_iDA_TPP1_rep3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	TPP1	50 day
d50-pool-14	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	50 day	quality control sample	cell	1	run aa04195_yh_fk_d50_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04195_yh_fk_d50_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	50 day
d50-iN-LIPA-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	LIPA	50 day	study sample	cell	1	run aa04208_yh_fk_d50_iN_LIPA_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04208_yh_fk_d50_iN_LIPA_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	LIPA	50 day
d50-iN-CTSF-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	CTSF	50 day	study sample	cell	2	run aa04279_yh_fk_d50_iN_CTSF_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04279_yh_fk_d50_iN_CTSF_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	CTSF	50 day
d50-iN-TPP1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	TPP1	50 day	study sample	cell	2	run aa04341_yh_fk_d50_iN_TPP1_rep2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04341_yh_fk_d50_iN_TPP1_rep2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	TPP1	50 day
d50-iN-DNAJC5-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	DNAJC5	50 day	study sample	cell	1	run aa04250_yh_fk_d50_iN_DNAJC5_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04250_yh_fk_d50_iN_DNAJC5_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	DNAJC5	50 day
